	cell_type	gene
0	Acinar cells	CTRB1
1	Acinar cells	KLK1
2	Acinar cells	RBPJL
3	Acinar cells	PTF1A
4	Acinar cells	CELA3A
5	Acinar cells	PRSS1
6	Acinar cells	SPINK1
7	Acinar cells	ZG16
8	Acinar cells	CEL
9	Acinar cells	CELA2A
10	Acinar cells	CPB1
11	Acinar cells	CELA1
12	Acinar cells	RNASE1
13	Acinar cells	AMY2B
14	Acinar cells	CPA2
15	Acinar cells	CPA1
16	Acinar cells	CELA3B
17	Acinar cells	PNLIP
18	Acinar cells	CTRB2
19	Acinar cells	PLA2G1B
20	Acinar cells	PRSS2
21	Acinar cells	CLPS
22	Acinar cells	REG1A
23	Acinar cells	SYCN
24	Acinar cells	PNLIPRP1
25	Acinar cells	CTRC
26	Acinar cells	REG3A
27	Acinar cells	SERPINA3
28	Acinar cells	PRSS3
29	Acinar cells	REG1B
30	Acinar cells	CFB
31	Acinar cells	GDF15
32	Acinar cells	MUC1
33	Acinar cells	C15ORF48
34	Acinar cells	DUOXA2
35	Acinar cells	AKR1C3
36	Acinar cells	OLFM4
37	Acinar cells	GSTA1
38	Acinar cells	LGALS2
39	Acinar cells	PDZK1IP1
40	Acinar cells	RARRES2
41	Acinar cells	CXCL17
42	Acinar cells	UBD
43	Acinar cells	GSTA2
44	Acinar cells	ANPEP
45	Acinar cells	LYZ
46	Acinar cells	ANGPTL4
47	Acinar cells	ALDOB
48	Adipocyte progenitor cells	CEBPA
49	Adipocyte progenitor cells	EGFR
50	Adipocyte progenitor cells	FGF10
51	Adipocyte progenitor cells	GSC
52	Adipocyte progenitor cells	MMP3
53	Adipocyte progenitor cells	PPARG
54	Adipocyte progenitor cells	TWIST2
55	Adipocyte progenitor cells	GATA3
56	Adipocyte progenitor cells	GLI1
57	Adipocyte progenitor cells	SMO
58	Adipocyte progenitor cells	STAB1
59	Adipocyte progenitor cells	WISP2
60	Adipocyte progenitor cells	WT1
61	Adipocyte progenitor cells	SCARA5
62	Adipocyte progenitor cells	HOXC8
63	Adipocyte progenitor cells	TCF7L1
64	Adipocyte progenitor cells	HOXC9
65	Adipocyte progenitor cells	HOXC6
66	Adipocyte progenitor cells	HOXC4
67	Adipocyte progenitor cells	ZNF521
68	Adipocyte progenitor cells	SULT1E1
69	Adipocyte progenitor cells	EBF2
70	Adipocyte progenitor cells	NRG4
71	Adipocytes	SLC36A2
72	Adipocytes	P2RX5
73	Adipocytes	LEP
74	Adipocytes	UCP1
75	Adipocytes	CIDEA
76	Adipocytes	PRDM16
77	Adipocytes	LHX8
78	Adipocytes	EPSTI1
79	Adipocytes	MC2R
80	Adipocytes	FFAR2
81	Adipocytes	PIKFYVE
82	Adipocytes	CYP11B2
83	Adipocytes	TLR2
84	Adipocytes	TLR4
85	Adipocytes	ADRB1
86	Adipocytes	ADRB2
87	Adipocytes	ADRB3
88	Adipocytes	FABP4
89	Adipocytes	TNFRSF9
90	Adipocytes	TBX1
91	Adipocytes	TMEM26
92	Adipocytes	TCF21
93	Adipocytes	ADIPOQ
94	Adipocytes	CFD
95	Adipocytes	ACVR1C
96	Adipocytes	SLC2A4
97	Adipocytes	LPIN1
98	Adipocytes	PLIN1
99	Adipocytes	PCK1
100	Adipocytes	PPARG
101	Adipocytes	RETN
102	Adipocytes	MEST
103	Adipocytes	ADM2
104	Adipocytes	STAT6
105	Adipocytes	TFE3
106	Adipocytes	CPPED1
107	Adipocytes	APPL2
108	Adipocytes	APOL6
109	Adipocytes	PXMP2
110	Adipocytes	CAVIN1
111	Adipocytes	AGT
112	Adipocytes	SLC1A5
113	Adipocytes	ACSL1
114	Adipocytes	BCAT2
115	Adipocytes	PNPLA2
116	Adipocytes	CIDEC
117	Adipocytes	CDO1
118	Adipocytes	APOC1
119	Adipocytes	MMP2
120	Adipocytes	POSTN
121	Adipocytes	LOX
122	Adipocytes	COL6A2
123	Adipocytes	ZBTB16
124	Adipocytes	GULP1
125	Adipocytes	FZD4
126	Adipocytes	TRIP10
127	Adipocytes	FGF7
128	Adipocytes	MAOB
129	Adipocytes	SOCS1
130	Adipocytes	ARNT
131	Adipocytes	SULT1A1
132	Adipocytes	NNMT
133	Adipocytes	AOC3
134	Adipocytes	H6PD
135	Adipocytes	CYP27A1
136	Adipocytes	EBF2
137	Adipocytes	MNDA
138	Adipocytes	HSD11B1
139	Adipocytes	AR
140	Adipocytes	GDF10
141	Adipocytes	CYP1B1
142	Adipocytes	COL5A3
143	Adipocytes	STEAP4
144	Adipocytes	CCL11
145	Adipocytes	NR1H3
146	Adipocytes	DEPTOR
147	Adipocytes	CYTH3
148	Adipocytes	FMO1
149	Adipocytes	ACADSB
150	Adipocytes	XDH
151	Adipocytes	RSPO3
152	Adipocytes	PTGES
153	Adipocytes	CREB3L1
154	Adipocytes	ANGPTL2
155	Adipocytes	ADAM12
156	Adipocytes	LBP
157	Adipocytes	NMB
158	Adipocytes	RARRES2
159	Adipocytes	FST
160	Adipocytes	EGFR
161	Adipocytes	CPXM1
162	Adipocytes	C3
163	Adipocytes	ADAMTS5
164	Adipocytes	MT2A
165	Adipocytes	TIMP1
166	Adipocytes	METRN
167	Adipocytes	METRNL
168	Adipocytes	MYO1C
169	Adipocytes	NQO1
170	Adipocytes	SYAP1
171	Adipocytes	CRNDE
172	Adipocytes	AQP5
173	Adipocytes	TSPO
174	Adipocytes	AZGP1
175	Adipocytes	LRP1
176	Adipocytes	PDE3B
177	Adipocytes	LGALS12
178	Adipocytes	SERPINF1
179	Adipocytes	CPT1B
180	Adipocytes	ELOVL3
181	Adipocytes	PPARGC1A
182	Adipocytes	MPZL1
183	Adipocytes	CITED1
184	Adipocytes	DPT
185	Adipocytes	HOXC9
186	Adipocytes	ZNF423
187	Adipocytes	ESM1
188	Adrenergic neurons	TH
189	Adrenergic neurons	DDC
190	Adrenergic neurons	DBH
191	Adrenergic neurons	PNMT
192	Adrenergic neurons	SLC18A2
193	Adrenergic neurons	NPFF
194	Adrenergic neurons	SLC12A7
195	Adrenergic neurons	SYT1
196	Airway epithelial cells	AQP1
197	Airway epithelial cells	ADH7
198	Airway epithelial cells	CDH1
199	Airway epithelial cells	SEC14L3
200	Airway goblet cells	MUC5B
201	Airway goblet cells	MUC16
202	Airway goblet cells	LTF
203	Airway goblet cells	SCGB3A1
204	Airway goblet cells	DMBT1
205	Airway goblet cells	LIPF
206	Airway goblet cells	MSLN
207	Airway goblet cells	AGR2
208	Airway goblet cells	GP2
209	Airway goblet cells	PIGR
210	Airway goblet cells	TFF2
211	Airway goblet cells	AQP5
212	Airway goblet cells	QSOX1
213	Airway goblet cells	FXYD3
214	Airway goblet cells	SEC23B
215	Airway goblet cells	CEACAM1
216	Airway goblet cells	GOLPH3
217	Airway goblet cells	GGH
218	Airway goblet cells	GALNT5
219	Airway goblet cells	GALNT6
220	Airway goblet cells	MUC5AC
221	Airway goblet cells	MUC4
222	Airway goblet cells	MUC20
223	Airway goblet cells	SPDEF
224	Airway goblet cells	DUSP4
225	Airway smooth muscle cells	NOG
226	Airway smooth muscle cells	ACTA2
227	Airway smooth muscle cells	FOXF1
228	Airway smooth muscle cells	GATA5
229	Alpha cells	GCG
230	Alpha cells	TTR
231	Alpha cells	GLP1R
232	Alpha cells	ARX
233	Alpha cells	POU3F4
234	Alpha cells	NKX2-2
235	Alpha cells	RESP18
236	Alpha cells	PYY
237	Alpha cells	PCSK2
238	Alpha cells	SLC38A5
239	Alpha cells	TM4SF4
240	Alpha cells	CRYBA2
241	Alpha cells	NKX6-1
242	Alpha cells	KCNK16
243	Alpha cells	PCSK1
244	Alpha cells	PRRG2
245	Alpha cells	IRX2
246	Alpha cells	ALDH1A1
247	Alpha cells	PEMT
248	Alpha cells	CHGA
249	Alpha cells	SMIM24
250	Alpha cells	F10
251	Alpha cells	SCGN
252	Alpha cells	SLC30A8
253	Alpha cells	SH3GL2
254	Alpha cells	SCGB2A1
255	Alpha cells	FAP
256	Alpha cells	DPP4
257	Alpha cells	GPR119
258	Alpha cells	MAFB
259	Alpha cells	PAX6
260	Alpha cells	NEUROD1
261	Alpha cells	LOXL4
262	Alpha cells	PLCE1
263	Alpha cells	GC
264	Alpha cells	KLHL41
265	Alpha cells	FEV
266	Alpha cells	PTGER3
267	Alpha cells	RFX6
268	Alpha cells	SMARCA1
269	Alpha cells	PGR
270	Alpha cells	LDB2
271	Alpha cells	IRX1
272	Alpha cells	UCP2
273	Alpha cells	FXYD5
274	Alpha cells	RGS4
275	Alpha cells	GLS
276	Alveolar macrophages	PLET1
277	Alveolar macrophages	IL1B
278	Alveolar macrophages	CCL3
279	Alveolar macrophages	G0S2
280	Alveolar macrophages	CXCL2
281	Alveolar macrophages	MCEMP1
282	Alveolar macrophages	KLHDC4
283	Alveolar macrophages	GDA
284	Alveolar macrophages	CLEC7A
285	Alveolar macrophages	ITGAX
286	Alveolar macrophages	TNFAIP2
287	Alveolar macrophages	CD36
288	Alveolar macrophages	GAL
289	Alveolar macrophages	TLR2
290	Alveolar macrophages	GPNMB
291	Alveolar macrophages	MRC1
292	Alveolar macrophages	MARCO
293	Alveolar macrophages	CSF2RB
294	Alveolar macrophages	MPP1
295	Alveolar macrophages	TRIM25
296	Alveolar macrophages	OLR1
297	Alveolar macrophages	S100A4
298	Alveolar macrophages	GNGT2
299	Anterior pituitary gland cells	AGA
300	Anterior pituitary gland cells	ANGPT1
301	Anterior pituitary gland cells	CHGA
302	Anterior pituitary gland cells	CPEB4
303	Anterior pituitary gland cells	IGSF1
304	Anterior pituitary gland cells	MEST
305	Anterior pituitary gland cells	NKTR
306	Anterior pituitary gland cells	NUCB2
307	Anterior pituitary gland cells	PITX2
308	Anterior pituitary gland cells	POU1F1
309	Anterior pituitary gland cells	PRL
310	Anterior pituitary gland cells	RAB27A
311	Anterior pituitary gland cells	RCN3
312	Anterior pituitary gland cells	SEZ6L2
313	Anterior pituitary gland cells	SIX6
314	Anterior pituitary gland cells	TBRG1
315	Anterior pituitary gland cells	TMEM130
316	Anterior pituitary gland cells	POMC
317	Anterior pituitary gland cells	GMPPA
318	Anterior pituitary gland cells	GNB3
319	Anterior pituitary gland cells	HEPACAM2
320	Anterior pituitary gland cells	ASB4
321	Anterior pituitary gland cells	RAX
322	Anterior pituitary gland cells	NKX2-1
323	Anterior pituitary gland cells	FGF10
324	Anterior pituitary gland cells	FSHB
325	Anterior pituitary gland cells	PCSK1
326	Anterior pituitary gland cells	GNRHR
327	Anterior pituitary gland cells	PITX1
328	Anterior pituitary gland cells	GH1
329	Anterior pituitary gland cells	TSHB
330	Anterior pituitary gland cells	PAX7
331	Anterior pituitary gland cells	LHB
332	Astrocytes	S100B
333	Astrocytes	SLC1A2
334	Astrocytes	GFAP
335	Astrocytes	BYSL
336	Astrocytes	ALDH1L1
337	Astrocytes	CD40
338	Astrocytes	SLC1A3
339	Astrocytes	FGFR3
340	Astrocytes	GJB6
341	Astrocytes	AQP4
342	Astrocytes	HTRA1
343	Astrocytes	S100A8
344	Astrocytes	CLDN10
345	Astrocytes	ITIH3
346	Astrocytes	NKAIN4
347	Astrocytes	ACSL6
348	Astrocytes	ACSBG1
349	Astrocytes	TRIL
350	Astrocytes	AGT
351	Astrocytes	GPR37L1
352	Astrocytes	SLC4A4
353	Astrocytes	NTSR2
354	Astrocytes	SLC6A11
355	Astrocytes	HSPA2
356	Astrocytes	SLC16A2
357	Astrocytes	SYNE1
358	Astrocytes	DIO2
359	Astrocytes	SLC7A10
360	Astrocytes	ENTPD2
361	Astrocytes	HSPB6
362	Astrocytes	PLXNB1
363	Astrocytes	LCAT
364	Astrocytes	PLA2G7
365	Astrocytes	CMTM5
366	Astrocytes	S1PR1
367	Astrocytes	SLC39A12
368	Astrocytes	LUZP2
369	Astrocytes	GSTA4
370	Astrocytes	SLC25A28
371	Astrocytes	SLC25A46
372	Astrocytes	WNT3
373	Astrocytes	FZD2
374	Astrocytes	TEAD1
375	Astrocytes	RLBP1
376	Astrocytes	ALDOC
377	Astrocytes	GJA1
378	Astrocytes	APOE
379	Astrocytes	LCN2
380	Astrocytes	SOX9
381	Astrocytes	VIM
382	Astrocytes	CCR7
383	Astrocytes	AANAT
384	Astrocytes	FABP7
385	Astrocytes	SOCS3
386	Astrocytes	SYNM
387	Astrocytes	HMG20A
388	Astrocytes	NFATC3
389	Astrocytes	SRR
390	Astrocytes	SLC1A6
391	Astrocytes	ETS1
392	Astrocytes	SLIT1
393	Astrocytes	SNPH
394	Astrocytes	IL23A
395	B cells	CD2
396	B cells	CD5
397	B cells	MS4A1
398	B cells	CR2
399	B cells	CD22
400	B cells	FCER2
401	B cells	CD40
402	B cells	CD69
403	B cells	CD70
404	B cells	CD79A
405	B cells	CD79B
406	B cells	CD80
407	B cells	CD86
408	B cells	TNFRSF9
409	B cells	SDC1
410	B cells	TNFSF4
411	B cells	TNFRSF13B
412	B cells	TNFRSF13C
413	B cells	PDCD1
414	B cells	IGHD
415	B cells	IGHM
416	B cells	RASGRP3
417	B cells	HLA-DRA
418	B cells	LTB
419	B cells	HLA-DQA1
420	B cells	FLI1
421	B cells	CD14
422	B cells	SEMA6D
423	B cells	LAIR1
424	B cells	IFIT3
425	B cells	IGLL1
426	B cells	DNTT
427	B cells	MME
428	B cells	SPN
429	B cells	CD19
430	B cells	CD24
431	B cells	CD27
432	B cells	B3GAT1
433	B cells	CD72
434	B cells	MUM1
435	B cells	PAX5
436	B cells	JCHAIN
437	B cells	MZB1
438	B cells	LY6D
439	B cells	FCMR
440	B cells	BANK1
441	B cells	EDEM1
442	B cells	VPREB3
443	B cells	POU2AF1
444	B cells	CRELD2
445	B cells	DERL3
446	B cells	RALGPS2
447	B cells	FCHSD2
448	B cells	POLD4
449	B cells	TNFRSF17
450	B cells	HVCN1
451	B cells	FCRLA
452	B cells	EDEM2
453	B cells	BLNK
454	B cells	TXNDC11
455	B cells	BTLA
456	B cells	SMAP2
457	B cells	FKBP11
458	B cells	SEC61A1
459	B cells	SPCS3
460	B cells	SPIB
461	B cells	EAF2
462	B cells	CXCR4
463	B cells	BIRC3
464	B cells	IGLC2
465	B cells	IGLC3
466	B cells	IGLC1
467	B cells	IL21R
468	B cells	IGKC
469	B cells	VPREB1
470	B cells	LRMP
471	B cells	KLHL6
472	B cells	SLAMF6
473	B cells	FAM129C
474	B cells	BST1
475	B cells	MSH5
476	B cells	DOK3
477	B cells	BACH2
478	B cells	PXK
479	B cells	IGHG1
480	B cells	IGHG3
481	B cells	IGHG4
482	B cells	CD38
483	B cells	PTPRC
484	B cells	EBF1
485	B cells	BCL11A
486	B cells	CCR7
487	B cells	CD55
488	B cells	CD74
489	B cells	CD52
490	B cells	TLR9
491	B cells	SWAP70
492	B cells	HMGA1
493	B cells memory	CD38
494	B cells memory	CD80
495	B cells memory	CD84
496	B cells memory	CD86
497	B cells memory	NT5E
498	B cells memory	PAX5
499	B cells memory	PTPRC
500	B cells memory	SPIB
501	B cells memory	ADAM28
502	B cells memory	AIM2
503	B cells memory	ALOX5
504	B cells memory	BACH2
505	B cells memory	BANK1
506	B cells memory	BLK
507	B cells memory	CCR6
508	B cells memory	CD180
509	B cells memory	CD19
510	B cells memory	CD1C
511	B cells memory	CD22
512	B cells memory	CD27
513	B cells memory	CD37
514	B cells memory	CD69
515	B cells memory	CD72
516	B cells memory	CD79A
517	B cells memory	CD79B
518	B cells memory	CLCA3P
519	B cells memory	CR2
520	B cells memory	CXCR5
521	B cells memory	DENND5B
522	B cells memory	FCGR2B
523	B cells memory	FCRL2
524	B cells memory	FRK
525	B cells memory	GNG7
526	B cells memory	GPR18
527	B cells memory	GUSBP11
528	B cells memory	HHEX
529	B cells memory	HLA-DOB
530	B cells memory	IFNA10
531	B cells memory	IGHD
532	B cells memory	IGHM
533	B cells memory	IGKC
534	B cells memory	IGLL3P
535	B cells memory	IL7
536	B cells memory	IRF8
537	B cells memory	LTB
538	B cells memory	LY86
539	B cells memory	MBL2
540	B cells memory	MS4A1
541	B cells memory	NMBR
542	B cells memory	NPIPB15
543	B cells memory	P2RX5
544	B cells memory	PNOC
545	B cells memory	PTPRCAP
546	B cells memory	RALGPS2
547	B cells memory	RASGRP2
548	B cells memory	SIK1
549	B cells memory	SIT1
550	B cells memory	SLC12A1
551	B cells memory	SP140
552	B cells memory	STAP1
553	B cells memory	TMEM156
554	B cells memory	TNFRSF13B
555	B cells memory	TNFRSF17
556	B cells memory	TRAF4
557	B cells memory	VPREB3
558	B cells memory	ZBTB32
559	B cells naive	CD19
560	B cells naive	CD2
561	B cells naive	CD72
562	B cells naive	IL2RA
563	B cells naive	MME
564	B cells naive	ABCB4
565	B cells naive	ADAM28
566	B cells naive	BACH2
567	B cells naive	BANK1
568	B cells naive	BCL7A
569	B cells naive	BEND5
570	B cells naive	BLK
571	B cells naive	BRAF
572	B cells naive	CD180
573	B cells naive	CD1C
574	B cells naive	CD22
575	B cells naive	CD37
576	B cells naive	CD69
577	B cells naive	CD79A
578	B cells naive	CD79B
579	B cells naive	CR2
580	B cells naive	CXCR5
581	B cells naive	EAF2
582	B cells naive	FCER2
583	B cells naive	FCGR2B
584	B cells naive	FCRL2
585	B cells naive	FRK
586	B cells naive	GPR18
587	B cells naive	GUSBP11
588	B cells naive	HHEX
589	B cells naive	HLA-DOB
590	B cells naive	IGHD
591	B cells naive	IGHM
592	B cells naive	IGKC
593	B cells naive	IGLL3P
594	B cells naive	IL4R
595	B cells naive	IRF8
596	B cells naive	LTB
597	B cells naive	LY86
598	B cells naive	MEP1A
599	B cells naive	MICAL3
600	B cells naive	MS4A1
601	B cells naive	NMBR
602	B cells naive	P2RX5
603	B cells naive	P2RY14
604	B cells naive	PNOC
605	B cells naive	PSG2
606	B cells naive	PTPRCAP
607	B cells naive	RALGPS2
608	B cells naive	RASGRP2
609	B cells naive	SELL
610	B cells naive	SIK1
611	B cells naive	SLC12A1
612	B cells naive	SPIB
613	B cells naive	STAP1
614	B cells naive	TCL1A
615	B cells naive	UGT1A8
616	B cells naive	VPREB3
617	B cells naive	ZNF286A
618	B cells naive	TNFSF8
619	B cells naive	FOXP1
620	B cells naive	MITF
621	B cells naive	CD52
622	B cells naive	HLA-DQB1
623	B cells naive	TNFRSF13C
624	B cells naive	LINC00926
625	B cells naive	STAG3
626	B cells naive	BIRC3
627	B cells naive	CD74
628	Basal cells	KRT5
629	Basal cells	KRT17
630	Basal cells	BCL2
631	Basal cells	KRT14
632	Basal cells	TP63
633	Basal cells	CDH3
634	Basal cells	KRT6B
635	Basal cells	METTL5
636	Basal cells	ANXA11
637	Basal cells	TMEM14A
638	Basal cells	BNIP3
639	Basal cells	TYMP
640	Basal cells	DPP7
641	Basal cells	OPTN
642	Basal cells	PLAU
643	Basal cells	CAPN1
644	Basal cells	BACE2
645	Basal cells	CTNNB1
646	Basal cells	ILK
647	Basal cells	PKP3
648	Basal cells	ITGA3
649	Basal cells	MT1L
650	Basal cells	SRSF4
651	Basal cells	RAB38
652	Basal cells	ALKBH7
653	Basal cells	DNPH1
654	Basal cells	KRT23
655	Basal cells	SLC16A3
656	Basal cells	GYPC
657	Basal cells	DUSP23
658	Basal cells	RARRES1
659	Basal cells	ITGA2
660	Basal cells	SLC25A37
661	Basal cells	GAPDHP1
662	Basal cells	ITGB6
663	Basal cells	ITGB4
664	Basal cells	SPHK1
665	Basal cells	ACTG2
666	Basal cells	IRF6
667	Basal cells	RAB13
668	Basal cells	LAMB3
669	Basal cells	ACADVL
670	Basal cells	MMP7
671	Basal cells	HEBP2
672	Basal cells	FBXO32
673	Basal cells	MT1E
674	Basal cells	MT2P1
675	Basal cells	SERINC2
676	Basal cells	NNMT
677	Basal cells	KRT15
678	Basal cells	PLP2
679	Basal cells	MT1X
680	Basal cells	S100A14
681	Basal cells	LAMC2
682	Basal cells	BMP7
683	Basal cells	MYLK
684	Basophils	CD69
685	Basophils	IL3RA
686	Basophils	CCR3
687	Basophils	ENPP3
688	Basophils	FCER1A
689	Basophils	TLR4
690	Basophils	LTC4S
691	Basophils	CPA3
692	Basophils	ITGAL
693	Basophils	ITGAM
694	Basophils	ITGAX
695	Basophils	IL4R
696	Basophils	ITGB7
697	Basophils	IL4
698	Basophils	MS4A2
699	Basophils	MS4A3
700	Basophils	HDC
701	Basophils	GATA2
702	Basophils	CCL3
703	Basophils	CD33
704	Basophils	CD44
705	Basophils	CDH1
706	Basophils	HTR1B
707	Basophils	IGFBP7
708	Basophils	DNASE2B
709	Basophils	FADS2
710	Basophils	GPC4
711	Basophils	GRM6
712	Basophils	ACSS2
713	Basophils	ADORA2B
714	Basophils	AQP9
715	Basophils	BACE1
716	Basophils	BMP4
717	Basophils	CABLES1
718	Basophils	CCL4
719	Basophils	CEBPA
720	Basophils	E2F8
721	Basophils	FADS1
722	Basophils	FAR2
723	Basophils	FBXO9
724	Basophils	GABBR1
725	Basophils	GPR183
726	Basophils	HGF
727	Basophils	HIST1H1D
728	Basophils	HIST1H2AC
729	Basophils	IFITM1
730	Basophils	INF2
731	Basophils	JAZF1
732	Basophils	L1CAM
733	Basophils	LAMA5
734	Basophils	MBOAT1
735	Basophils	NFIL3
736	Basophils	NPL
737	Basophils	OSBPL5
738	Basophils	OTUB2
739	Basophils	P2RY1
740	Basophils	PDK3
741	Basophils	PDZD4
742	Basophils	PERP
743	Basophils	PIGY
744	Basophils	PLEKHG5
745	Basophils	PLG
746	Basophils	RNF39
747	Basophils	SLC26A3
748	Basophils	SLC26A8
749	Basophils	SNCAIP
750	Basophils	ST6GALNAC5
751	Basophils	SUPT3H
752	Basophils	TULP3
753	Basophils	TEC
754	Basophils	UNC93A
755	Basophils	WRN
756	Basophils	ID1
757	Bergmann glia	GFAP
758	Bergmann glia	GDF10
759	Bergmann glia	GJB6
760	Bergmann glia	GRIA4
761	Bergmann glia	GRM3
762	Bergmann glia	NTSR2
763	Bergmann glia	ITIH3
764	Bergmann glia	A2M
765	Bergmann glia	PTCH1
766	Bergmann glia	CDC42EP4
767	Bergmann glia	BTBD17
768	Bergmann glia	AQP4
769	Bergmann glia	SLC4A4
770	Bergmann glia	HOPX
771	Bergmann glia	GPR37L1
772	Bergmann glia	ACSBG1
773	Bergmann glia	ALDH1L1
774	Bergmann glia	SLC1A3
775	Bergmann glia	SLC1A2
776	Bergmann glia	S100B
777	Bergmann glia	VIM
778	Bergmann glia	FABP7
779	Bergmann glia	TTC21B
780	Bergmann glia	HEPACAM
781	Bergmann glia	ZEB2
782	Bergmann glia	UFL1
783	Bergmann glia	NRXN3
784	Bergmann glia	ATP7A
785	Bergmann glia	BICD2
786	Bergmann glia	GJA1
787	Bergmann glia	METRN
788	Bergmann glia	P2RX7
789	Bergmann glia	EGFR
790	Bergmann glia	GRIA1
791	Bergmann glia	P2RY1
792	Bergmann glia	GRIN2B
793	Bergmann glia	GRIN3A
794	Bergmann glia	SEPT4
795	Bergmann glia	DAO
796	Bergmann glia	ITGB1
797	Bergmann glia	KIF1BP
798	Beta cells	GCGR
799	Beta cells	JPH3
800	Beta cells	CD40
801	Beta cells	HAMP
802	Beta cells	EZH1
803	Beta cells	NTRK1
804	Beta cells	PDX1
805	Beta cells	SLC2A2
806	Beta cells	NKX6-2
807	Beta cells	FXYD2
808	Beta cells	NPY
809	Beta cells	INS
810	Beta cells	RIMS1
811	Beta cells	MAFA
812	Beta cells	EFNA5
813	Beta cells	LMX1A
814	Beta cells	NKX2-2
815	Beta cells	NKX6-1
816	Beta cells	PAX4
817	Beta cells	IAPP
818	Beta cells	PCSK2
819	Beta cells	G6PC2
820	Beta cells	SLC30A8
821	Beta cells	PCSK1
822	Beta cells	GJD2
823	Beta cells	SCGN
824	Beta cells	IGF2
825	Beta cells	SYT13
826	Beta cells	FFAR2
827	Beta cells	NPTX2
828	Beta cells	PFKFB2
829	Beta cells	EDARADD
830	Beta cells	HOPX
831	Beta cells	SH3GL2
832	Beta cells	ADCYAP1
833	Beta cells	SCGB2A1
834	Beta cells	CASR
835	Beta cells	MAFB
836	Beta cells	PAX6
837	Beta cells	NEUROD1
838	Beta cells	ISL1
839	Beta cells	TGFBR3
840	Beta cells	SMAD9
841	Beta cells	SIX3
842	Beta cells	SIX2
843	Beta cells	BMP5
844	Beta cells	PIR
845	Beta cells	STXBP5
846	Beta cells	DLK1
847	Beta cells	MEG3
848	Beta cells	RGS16
849	Cajal-Retzius cells	RELN
850	Cajal-Retzius cells	DIABLO
851	Cajal-Retzius cells	ST3GAL5
852	Cajal-Retzius cells	ISOC1
853	Cajal-Retzius cells	SMOC2
854	Cajal-Retzius cells	DYNC1I1
855	Cajal-Retzius cells	NHLH2
856	Cajal-Retzius cells	CLSTN2
857	Cajal-Retzius cells	TMEM163
858	Cajal-Retzius cells	CACNA2D2
859	Cajal-Retzius cells	CIB2
860	Cajal-Retzius cells	NDNF
861	Cajal-Retzius cells	LINGO1
862	Cajal-Retzius cells	LNPK
863	Cajal-Retzius cells	RNF138
864	Cajal-Retzius cells	TMEM170B
865	Cajal-Retzius cells	ABCC5
866	Cajal-Retzius cells	CNRIP1
867	Cajal-Retzius cells	EBF3
868	Cajal-Retzius cells	FUT9
869	Cajal-Retzius cells	PABPN1
870	Cajal-Retzius cells	GNL3L
871	Cajal-Retzius cells	NUDT2
872	Cajal-Retzius cells	SLC25A46
873	Cajal-Retzius cells	NSMCE3
874	Cajal-Retzius cells	DACH1
875	Cajal-Retzius cells	FAM69B
876	Cajal-Retzius cells	HOMER2
877	Cajal-Retzius cells	MAP9
878	Cajal-Retzius cells	DNM3
879	Cajal-Retzius cells	LZTFL1
880	Cajal-Retzius cells	FSD1
881	Cajal-Retzius cells	TCEAL1
882	Cajal-Retzius cells	RAB11FIP2
883	Cajal-Retzius cells	BARHL2
884	Cajal-Retzius cells	TRIM44
885	Cajal-Retzius cells	SLC17A6
886	Cajal-Retzius cells	B3GALT1
887	Cajal-Retzius cells	SLITRK5
888	Cajal-Retzius cells	ERC2
889	Cajal-Retzius cells	NBEA
890	Cajal-Retzius cells	SLC25A36
891	Cajal-Retzius cells	ZDBF2
892	Cajal-Retzius cells	MAPK8
893	Cajal-Retzius cells	GDF5
894	Cajal-Retzius cells	ACHE
895	Cajal-Retzius cells	CCM2
896	Cajal-Retzius cells	WRAP73
897	Cajal-Retzius cells	NRG1
898	Cajal-Retzius cells	ATP13A2
899	Cajal-Retzius cells	CNTNAP2
900	Cajal-Retzius cells	PNOC
901	Cajal-Retzius cells	LHX1
902	Cajal-Retzius cells	LINGO2
903	Cajal-Retzius cells	FAT3
904	Cajal-Retzius cells	SRGAP3
905	Cajal-Retzius cells	CDH4
906	Cajal-Retzius cells	FLRT3
907	Cajal-Retzius cells	EDIL3
908	Cajal-Retzius cells	ZCCHC12
909	Cajal-Retzius cells	RALGPS2
910	Cajal-Retzius cells	FAM196A
911	Cajal-Retzius cells	SMAD1
912	Cajal-Retzius cells	TBR1
913	Cajal-Retzius cells	KCNH7
914	Cajal-Retzius cells	LHX5
915	Cajal-Retzius cells	CALB2
916	Cajal-Retzius cells	EMX2
917	Cajal-Retzius cells	ZIC2
918	Cajal-Retzius cells	WNT7B
919	Cajal-Retzius cells	AATF
920	Cajal-Retzius cells	NANOS1
921	Cajal-Retzius cells	TBCK
922	Cajal-Retzius cells	RGMB
923	Cajal-Retzius cells	DACT1
924	Cajal-Retzius cells	EOMES
925	Cajal-Retzius cells	CNR1
926	Cajal-Retzius cells	HAR1A
927	Cardiac stem and precursor cells	MYH6
928	Cardiac stem and precursor cells	WT1
929	Cardiac stem and precursor cells	TBX18
930	Cardiac stem and precursor cells	FUT4
931	Cardiac stem and precursor cells	KITLG
932	Cardiac stem and precursor cells	NKX2-5
933	Cardiac stem and precursor cells	ISL1
934	Cardiac stem and precursor cells	GATA4
935	Cardiac stem and precursor cells	ETV2
