	principal component 1	principal component 2	origin
0	0.07032180221650966	-0.4122325763361107	Epithelial-cells
1	-0.20415546942867768	-0.3290550713380177	Epithelial-cells
2	-0.6657715367391276	-0.37898981401425547	Epithelial-cells
3	-0.1466796793032467	2.0214336474419414	T-cells
4	1.0331959216411515	-0.23290096687706757	T-cells
5	-0.5461764038533982	-0.5786142299929818	T-cells
6	-0.1529147346082467	-0.17599753428378742	T-cells
7	-0.07516261757817787	2.1566305400622623	T-cells
8	-0.5734671324373153	-0.25613525512975666	T-cells
9	1.7847667252024502	-0.005435144883232789	T-cells
10	-0.27688661637807466	-0.25856555686989646	T-cells
11	-0.5183333471299801	-0.90334408749918	Erythroblasts
12	-0.16295917044662173	0.31487887353785343	Erythroblasts
13	2.313859751786008	-0.12350574183575462	Erythroblasts
14	-0.8003690667341791	-0.6403390605040418	Erythroblasts
15	-0.3580622698868074	0.699071518767968	Erythroblasts
16	-0.6867548589355132	-0.8953478685586753	Enterocytes
17	-0.706838505075088	-0.6058352743628512	Enterocytes
18	-0.2770424869935564	0.47590474425365104	Enterocytes
19	-0.37904046752286535	0.7770258280917487	Enterocytes
20	-0.5941006101996527	-0.8587977985885303	Ionocytes
21	-0.05981912519059879	-0.21156680879910852	Ionocytes
22	0.1661560109741572	-0.4124416325036627	Ionocytes
23	-0.4465227066656337	-0.7812287823631537	Ionocytes
24	0.1665829477683248	-0.2692316803919813	Hepatoblasts
25	-0.7468248901456358	-0.8115050274623673	Hepatoblasts
26	-0.986820436323671	-0.5917227412177278	Hepatoblasts
27	-0.1332326434965877	0.15066018632856026	Hepatoblasts
28	-0.6774570171413686	-0.8679401910302903	Podocytes
29	-0.7692556579143806	-0.5091488057539079	Podocytes
30	-0.5935895817613799	0.7211033264569311	Podocytes
31	-0.6720689512672493	1.3558918530972086	Podocytes
32	2.0216123005099007	-0.17905118673718684	Osteoclasts
33	-1.1489164179172549	1.4293641454762123	Osteoclasts
34	-0.9246870780696681	1.0458418245265149	Osteoclasts
35	-0.9870467508029722	-0.8305042266641911	Osteoclasts
36	-1.1475172705507946	-0.48070070705151274	Osteoclasts
37	2.6957247425574957	0.06542090529714802	Neutrophils
38	-0.5711223618947798	1.6644770111563312	Neutrophils
39	-0.5971764122849993	1.0693258664535132	Neutrophils
40	3.1378521136555073	0.311894839946964	Neutrophils
41	-0.6249339247652658	-0.39693972155127333	Neutrophils
42	-0.7657373219731418	-0.09643731435227436	Neutrophils
43	0.23669226931004078	-0.427681109860252	Plasma-cells
44	0.0551884683932521	-0.017041127438955132	Plasma-cells
45	0.27664300498421995	0.005757212712060864	Plasma-cells
46	1.7591205911762202	-0.2409204688488529	Plasma-cells
47	-0.3344149391155016	-0.2712603154863838	Plasma-cells
48	-0.36044935460003014	-0.41262935018986374	Plasma-cells
49	1.9038985662373993	-0.17232266228715037	Hepatocytes
50	-0.8858082437825796	-0.6103578173809447	Hepatocytes
51	-0.743751702936681	1.5528619672882298	Hepatocytes
52	-0.8285393241167665	0.7054974431624507	Hepatocytes
53	2.570942969775944	-0.13084305191211343	Hepatocytes
54	-0.8432031296071882	-0.8152212079989497	Hepatocytes
55	-0.5553510047949416	-0.9076035374822243	Pinealocytes
56	0.029788966454451622	0.06939431393129157	Pinealocytes
57	0.06387341407380154	-0.09170372539454084	Pinealocytes
58	-0.5513327272621452	-0.6167253090374676	Pinealocytes
59	1.3316904178174644	-0.2560184809435715	Keratinocytes
60	-0.8211453974353792	1.7258999400771176	Keratinocytes
61	-0.9951812083988606	-0.6515742585183342	Keratinocytes
62	-0.937447694727285	-0.4609863881595701	Keratinocytes
63	1.055462761595735	-0.24037477407771915	Keratinocytes
64	-0.7150941235143181	1.484449241840143	Keratinocytes
65	-0.7797004114456826	1.2141501912035817	Oligodendrocytes
66	-0.6221071642329853	1.0900319248900479	Oligodendrocytes
67	-0.843388374102384	-0.728256589143874	Oligodendrocytes
68	-0.943829504464042	-0.6079113976568444	Oligodendrocytes
69	0.07460013310104538	-0.2338082932634989	Stromal-cells
70	-0.6214110834361377	-0.10138805090903012	Stromal-cells
71	0.15527384229327243	-0.38642224724078744	Stromal-cells
72	0.22889334260365332	-0.22991503531434268	Stromal-cells
73	0.13598187044335774	-0.24482866468502743	Hemangioblasts
74	0.06607281827061652	-0.04564180218045801	Hemangioblasts
75	-0.689642574750069	-0.8878738156211062	Hemangioblasts
76	-0.7630747310247115	-0.4808794618180586	Hemangioblasts
77	-0.33880380969992474	-0.6513407020426877	Spermatozoa
78	3.7233517625747634	0.07523541152385797	Spermatozoa
79	-0.26774023486083165	0.7769911540542301	Spermatozoa
80	-0.7953923563492642	-0.9509575570846782	Cholangiocytes
